 cnt_tasks	     t_max	 t_low_bnd	       eps	  alg_time
       500	     14278	     13264	  0.076415	  0.001768
      1000	     26710	     25230	  0.058641	  0.005814
      1500	     39170	     37453	  0.045838	  0.011890
      2000	     52491	     50306	  0.043430	  0.015825
      2500	     64809	     62400	  0.038603	  0.016915
      3000	     77504	     74893	  0.034863	  0.021004
      3500	     90295	     87471	  0.032279	  0.029757
      4000	    103688	    100385	  0.032907	  0.032341
      4500	    117172	    113355	  0.033677	  0.046388
      5000	    130077	    125782	  0.034149	  0.055835
